ID,Start,End
ENSP00000362864,129,152
ENSP00000406655,40,110
ENSP00000495331,316,341
ENSP00000489337,50,76
ENSP00000479325,956,987
ENSP00000337226,203,241
ENSP00000265814,557,604
ENSP00000498055,316,345
ENSP00000254691,990,1037
ENSP00000383939,1407,1442
ENSP00000480615,609,631
ENSP00000480946,248,302
ENSP00000317431,583,607
ENSP00000493184,470,492
ENSP00000494686,249,284
ENSP00000411198,208,235
ENSP00000478459,638,685
ENSP00000404151,1486,1554
ENSP00000346148,500,574
ENSP00000364023,647,803
ENSP00000479915,354,410
ENSP00000322341,310,403
ENSP00000460639,117,138
ENSP00000281428,358,386
ENSP00000235628,346,368
ENSP00000392914,355,372
ENSP00000387746,593,627
ENSP00000360392,167,192
ENSP00000480889,328,347
ENSP00000478062,2075,2213
ENSP00000489933,1857,1944
ENSP00000483367,45,84
ENSP00000317337,118,148
ENSP00000476792,446,569
ENSP00000402264,177,226
ENSP00000256646,2419,2471
ENSP00000475639,174,226
ENSP00000487277,444,526
ENSP00000240101,249,303
ENSP00000387978,385,426
ENSP00000377505,382,437
ENSP00000323183,487,514
ENSP00000443160,830,883
ENSP00000332756,1100,1132
ENSP00000450596,647,669
ENSP00000378356,823,890
ENSP00000245838,1518,1593
ENSP00000480563,140,176
ENSP00000380932,69,112
ENSP00000434462,452,510
ENSP00000479301,248,264
ENSP00000490139,183,204
ENSP00000365898,413,432
ENSP00000352021,170,213
ENSP00000448784,95,129
ENSP00000347931,1957,2034
ENSP00000298530,139,163
ENSP00000398685,77,104
ENSP00000284674,316,337
ENSP00000482105,392,427
ENSP00000337053,770,794
ENSP00000372642,679,700
ENSP00000382794,206,300
ENSP00000371294,374,400
ENSP00000437321,692,733
ENSP00000412505,765,841
ENSP00000449471,55,104
ENSP00000384361,155,184
ENSP00000483627,183,211
ENSP00000422621,478,530
ENSP00000443617,1191,1211
ENSP00000373090,550,607
ENSP00000297323,1081,1119
ENSP00000486587,211,235
ENSP00000378801,240,277
ENSP00000451946,705,775
ENSP00000389140,1399,1447
ENSP00000490448,310,365
ENSP00000391269,403,425
ENSP00000488696,660,714
ENSP00000326500,394,422
ENSP00000432897,205,247
ENSP00000392070,307,327
ENSP00000479692,279,296
ENSP00000321853,429,491
ENSP00000286149,1114,1153
ENSP00000458927,107,128
ENSP00000443113,499,543
ENSP00000459261,107,128
ENSP00000397726,97,138
ENSP00000486568,412,566
ENSP00000340019,548,573
ENSP00000361310,677,713
ENSP00000262932,231,248
ENSP00000369967,222,254
ENSP00000497192,1070,1115
ENSP00000325917,710,785
ENSP00000248244,608,712
ENSP00000364042,991,1012
ENSP00000346269,438,469
ENSP00000394380,357,372
ENSP00000398163,286,308
ENSP00000478415,106,130
ENSP00000487905,185,216
ENSP00000495484,316,339
ENSP00000322640,1378,1445
ENSP00000479180,75,116
ENSP00000242462,151,214
ENSP00000449404,432,511
ENSP00000402477,96,115
ENSP00000372691,734,777
ENSP00000343690,642,684
ENSP00000483916,603,668
ENSP00000376851,121,153
ENSP00000481169,692,746
ENSP00000429808,935,950
ENSP00000367023,447,481
ENSP00000349344,774,789
ENSP00000365817,344,358
ENSP00000378659,207,276
ENSP00000264313,479,581
ENSP00000304780,118,178
ENSP00000429775,184,219
ENSP00000265965,442,458
ENSP00000243108,218,235
ENSP00000368785,452,511
ENSP00000267889,1353,1401
ENSP00000433748,172,208
ENSP00000418892,392,431
ENSP00000481355,277,341
ENSP00000302846,437,488
ENSP00000247178,443,492
ENSP00000463799,177,202
ENSP00000331720,255,275
ENSP00000372160,295,331
ENSP00000362328,287,332
ENSP00000493724,838,892
ENSP00000262300,451,499
ENSP00000378775,259,316
ENSP00000483190,354,410
ENSP00000411825,845,873
ENSP00000325296,779,805
ENSP00000418123,168,201
ENSP00000353245,382,423
ENSP00000469019,183,206
ENSP00000261980,313,361
ENSP00000359748,1103,1123
ENSP00000382091,316,394
ENSP00000435447,126,175
ENSP00000310241,516,551
ENSP00000261623,134,195
ENSP00000337367,1181,1241
ENSP00000319250,332,368
ENSP00000467482,460,503
ENSP00000441630,201,265
ENSP00000216294,275,368
ENSP00000362687,697,737
ENSP00000380191,77,98
ENSP00000428333,720,750
ENSP00000398781,201,215
ENSP00000358677,544,607
ENSP00000355237,1660,1711
ENSP00000492584,259,308
ENSP00000265026,864,966
ENSP00000488668,1140,1225
ENSP00000356172,582,622
ENSP00000492684,1393,1411
ENSP00000489218,835,882
ENSP00000356181,726,810
ENSP00000346283,88,115
ENSP00000280780,276,305
ENSP00000376798,145,166
ENSP00000305372,383,413
ENSP00000370800,58,208
ENSP00000485752,993,1022
ENSP00000398086,476,516
ENSP00000482375,119,172
ENSP00000445218,316,367
ENSP00000342938,234,263
ENSP00000444704,307,327
ENSP00000376421,2134,2172
ENSP00000341961,396,417
ENSP00000478146,290,400
ENSP00000457923,71,96
ENSP00000282728,215,270
ENSP00000490031,1793,1845
ENSP00000386812,170,266
ENSP00000457769,135,170
ENSP00000370171,127,267
ENSP00000377508,724,745
ENSP00000352572,3279,3336
ENSP00000386870,329,349
ENSP00000417395,711,731
ENSP00000345793,956,977
ENSP00000294008,1810,1834
ENSP00000494359,234,263
ENSP00000493446,368,429
ENSP00000351401,2272,2347
ENSP00000481441,359,390
ENSP00000194530,391,418
ENSP00000373208,1044,1070
ENSP00000376084,247,270
ENSP00000404270,253,286
ENSP00000440982,737,757
ENSP00000373139,344,378
ENSP00000467180,94,123
ENSP00000298299,182,224
ENSP00000482510,720,751
ENSP00000376908,147,198
ENSP00000339834,325,339
ENSP00000433677,94,199
ENSP00000348010,599,669
ENSP00000484067,262,287
ENSP00000490504,187,234
ENSP00000369614,867,925
ENSP00000369545,160,211
ENSP00000358532,1202,1227
ENSP00000328177,378,400
ENSP00000361226,837,851
ENSP00000379144,1863,1962
ENSP00000359476,464,493
ENSP00000420909,521,535
ENSP00000367476,911,925
ENSP00000423677,465,498
ENSP00000389972,412,471
ENSP00000487118,85,121
ENSP00000491054,1735,1756
ENSP00000371927,341,363
ENSP00000261569,2408,2429
ENSP00000477878,525,561
ENSP00000240662,390,424
ENSP00000259873,244,258
ENSP00000423598,74,125
ENSP00000433728,175,194
ENSP00000229418,283,318
ENSP00000394424,757,785
ENSP00000244565,494,518
ENSP00000321000,1254,1275
ENSP00000435257,401,427
ENSP00000339145,725,758
ENSP00000351318,1269,1385
ENSP00000298085,590,619
ENSP00000360662,1043,1102
ENSP00000441309,119,161
ENSP00000372683,569,634
ENSP00000484236,352,403
ENSP00000328720,679,733
ENSP00000397593,1219,1242
ENSP00000427900,1763,1826
ENSP00000352414,190,216
ENSP00000478252,45,154
ENSP00000464149,680,739
ENSP00000253262,673,756
ENSP00000303830,1360,1382
ENSP00000248983,345,378
ENSP00000386419,179,218
ENSP00000411827,416,475
ENSP00000345297,710,727
ENSP00000457421,699,738
ENSP00000398025,50,130
ENSP00000481508,498,549
ENSP00000390707,344,358
ENSP00000456163,495,525
ENSP00000333734,362,394
ENSP00000399129,75,110
ENSP00000493516,207,237
ENSP00000484363,181,209
ENSP00000376188,399,422
ENSP00000433418,123,145
ENSP00000279270,184,270
ENSP00000481306,352,438
ENSP00000296932,1121,1193
ENSP00000479910,1068,1093
ENSP00000263063,560,582
ENSP00000312671,1497,1523
ENSP00000256151,182,241
ENSP00000345528,342,371
ENSP00000396684,342,378
ENSP00000296122,305,327
ENSP00000366898,646,669
ENSP00000439911,118,157
ENSP00000483965,498,549
ENSP00000262283,646,689
ENSP00000385098,420,445
ENSP00000384028,340,411
ENSP00000421584,1469,1553
ENSP00000297130,75,251
ENSP00000364493,460,506
ENSP00000261195,689,703
ENSP00000450724,115,168
ENSP00000310406,709,783
ENSP00000216223,432,551
ENSP00000327846,411,451
ENSP00000429687,241,280
ENSP00000446963,350,383
ENSP00000308957,755,778
ENSP00000427749,78,100
ENSP00000379758,156,192
ENSP00000371790,166,208
ENSP00000318999,416,467
ENSP00000296684,160,175
ENSP00000467638,198,225
ENSP00000393922,1494,1516
ENSP00000478636,649,672
ENSP00000374359,726,858
ENSP00000433572,1260,1299
ENSP00000367797,705,728
ENSP00000359594,871,919
ENSP00000358238,342,433
ENSP00000451361,119,141
ENSP00000383602,217,327
ENSP00000461043,701,759
ENSP00000305465,520,584
ENSP00000344594,57,137
ENSP00000479898,1439,1549
ENSP00000351856,480,542
ENSP00000418284,372,397
ENSP00000379147,72,99
ENSP00000377178,391,431
ENSP00000010299,321,341
ENSP00000369126,309,337
ENSP00000412111,407,464
ENSP00000355361,299,323
ENSP00000413209,322,398
ENSP00000266534,486,514
ENSP00000380112,93,113
ENSP00000348888,719,764
ENSP00000484568,108,142
ENSP00000448519,474,516
ENSP00000308741,811,846
ENSP00000458963,1063,1118
ENSP00000429834,901,931
ENSP00000389838,646,681
ENSP00000386780,450,480
ENSP00000402527,1098,1112
ENSP00000251496,967,1015
ENSP00000402167,413,522
ENSP00000225550,420,449
ENSP00000407323,331,361
ENSP00000415934,131,152
ENSP00000439281,132,286
ENSP00000354061,693,929
ENSP00000332809,1270,1288
ENSP00000478384,364,420
ENSP00000376715,513,539
ENSP00000462313,500,595
ENSP00000416035,178,201
ENSP00000463639,76,140
ENSP00000379026,688,714
ENSP00000324270,363,389
ENSP00000367444,206,283
ENSP00000261381,933,959
ENSP00000342709,194,356
ENSP00000420968,267,293
ENSP00000446637,397,416
ENSP00000307006,424,471
ENSP00000461460,198,232
ENSP00000482182,1123,1282
ENSP00000361669,240,406
ENSP00000418078,150,200
ENSP00000369703,431,445
ENSP00000365891,488,502
ENSP00000382101,332,397
ENSP00000327054,581,620
ENSP00000349325,1464,1499
ENSP00000495487,205,227
ENSP00000468100,495,516
ENSP00000377934,1316,1343
ENSP00000263062,802,836
ENSP00000428559,221,249
ENSP00000393557,1012,1094
ENSP00000335017,350,412
ENSP00000353677,411,436
ENSP00000384744,211,239
ENSP00000442681,70,143
ENSP00000472020,1441,1460
ENSP00000362797,344,368
ENSP00000295902,880,900
ENSP00000358556,1089,1110
ENSP00000442548,516,539
ENSP00000483516,610,670
ENSP00000393121,278,301
ENSP00000295113,298,325
ENSP00000457892,73,98
ENSP00000386355,111,140
ENSP00000337761,196,221
ENSP00000477651,1333,1366
ENSP00000484871,274,348
ENSP00000013807,288,323
ENSP00000299952,383,410
ENSP00000361595,418,475
ENSP00000488406,54,73
ENSP00000457534,277,301
ENSP00000327213,954,1158
ENSP00000382443,795,836
ENSP00000406334,554,575
ENSP00000497810,1226,1249
ENSP00000306906,127,153
ENSP00000411073,115,213
ENSP00000334642,1132,1154
ENSP00000388072,525,559
ENSP00000372904,185,237
ENSP00000397719,186,213
ENSP00000413845,795,836
ENSP00000277900,651,674
ENSP00000481421,288,338
ENSP00000487876,236,369
ENSP00000376759,281,314
ENSP00000397239,432,506
ENSP00000387099,744,764
ENSP00000488428,1096,1144
ENSP00000463939,164,235
ENSP00000280236,566,581
ENSP00000414138,1000,1018
ENSP00000477831,510,542
ENSP00000419185,487,504
ENSP00000419502,296,344
ENSP00000007510,733,748
ENSP00000245543,175,198
ENSP00000483533,121,135
ENSP00000392727,386,425
ENSP00000315295,1792,1849
ENSP00000337854,556,585
ENSP00000484545,45,154
ENSP00000378289,922,977
ENSP00000488302,441,578
ENSP00000394105,60,86
ENSP00000493805,258,275
ENSP00000388246,144,170
ENSP00000420154,129,157
ENSP00000370908,236,369
ENSP00000301653,428,473
ENSP00000482702,274,306
ENSP00000338862,285,353
ENSP00000301599,137,159
ENSP00000395449,622,649
ENSP00000428456,522,538
ENSP00000256509,1208,1224
ENSP00000443846,401,445
ENSP00000295619,66,129
ENSP00000496713,427,444
ENSP00000462787,123,143
ENSP00000360876,471,490
ENSP00000297157,183,221
ENSP00000480894,370,399
ENSP00000482483,236,293
ENSP00000445334,121,164
ENSP00000360138,393,433
ENSP00000481696,273,348
ENSP00000419485,104,180
ENSP00000330218,227,391
ENSP00000392401,668,722
ENSP00000436418,448,473
ENSP00000373076,329,409
ENSP00000441550,361,381
ENSP00000341905,987,1011
ENSP00000479425,369,455
ENSP00000368912,94,116
ENSP00000482160,369,444
ENSP00000262096,332,367
ENSP00000418447,288,309
ENSP00000444293,1483,1570
ENSP00000265742,1057,1089
ENSP00000363229,481,532
ENSP00000430853,1075,1161
ENSP00000349386,493,515
ENSP00000387578,246,275
ENSP00000378018,1365,1434
ENSP00000491060,50,71
ENSP00000492675,190,282
ENSP00000483545,245,293
ENSP00000432937,327,353
ENSP00000234389,1012,1043
ENSP00000479917,164,194
ENSP00000301691,178,213
ENSP00000401788,129,162
ENSP00000494716,1195,1243
ENSP00000477455,1451,1484
ENSP00000332659,339,360
ENSP00000235180,923,979
ENSP00000260810,1501,1522
ENSP00000320084,520,534
ENSP00000420448,659,794
ENSP00000434655,935,950
ENSP00000253807,948,963
ENSP00000440488,169,191
ENSP00000362460,216,270
ENSP00000386495,832,906
ENSP00000311028,132,151
ENSP00000471896,410,452
ENSP00000342710,553,578
ENSP00000330101,561,638
ENSP00000480151,812,845
ENSP00000477847,510,535
ENSP00000431459,141,189
ENSP00000480614,876,903
ENSP00000488554,446,464
ENSP00000478740,598,652
ENSP00000400880,509,530
ENSP00000370660,385,446
ENSP00000211122,193,222
ENSP00000378350,562,597
ENSP00000425658,1217,1429
ENSP00000260731,988,1056
ENSP00000329161,546,568
ENSP00000449715,573,620
ENSP00000262731,619,643
ENSP00000377560,137,156
ENSP00000300176,451,481
ENSP00000263773,906,1017
ENSP00000282223,360,377
ENSP00000379607,66,101
ENSP00000257181,228,312
ENSP00000360599,1622,1644
ENSP00000432856,185,217
ENSP00000365465,416,529
ENSP00000434755,279,303
ENSP00000358747,654,678
ENSP00000386493,173,209
ENSP00000438262,1188,1221
ENSP00000363596,346,360
ENSP00000471169,65,91
ENSP00000302724,48,135
ENSP00000435582,796,902
ENSP00000411140,352,443
ENSP00000483324,352,375
ENSP00000419853,137,159
ENSP00000472797,81,106
ENSP00000311997,499,1020
ENSP00000433565,816,838
ENSP00000434151,411,436
ENSP00000344489,351,376
ENSP00000360672,253,372
ENSP00000264606,1068,1084
ENSP00000350570,125,148
ENSP00000415225,168,192
ENSP00000402756,144,167
ENSP00000488922,695,714
ENSP00000264720,890,911
ENSP00000477148,62,85
ENSP00000336994,622,669
ENSP00000465621,151,201
ENSP00000457071,90,120
ENSP00000387941,482,517
ENSP00000448665,138,192
ENSP00000438786,1344,1382
ENSP00000357863,174,213
ENSP00000429726,165,190
ENSP00000471297,788,831
ENSP00000397055,946,985
ENSP00000398440,632,666
ENSP00000450145,567,623
ENSP00000227349,725,778
ENSP00000296550,716,766
ENSP00000384638,912,953
ENSP00000477585,271,287
ENSP00000354616,338,375
ENSP00000402943,130,156
ENSP00000381280,445,466
ENSP00000465450,474,536
ENSP00000331608,308,501
ENSP00000477932,997,1070
ENSP00000312734,174,207
ENSP00000462879,85,159
ENSP00000444891,991,1057
ENSP00000478922,368,382
ENSP00000265810,345,366
ENSP00000411532,1466,1531
ENSP00000397863,210,242
ENSP00000411331,103,175
ENSP00000367157,254,275
ENSP00000389160,163,228
ENSP00000494105,490,520
ENSP00000482370,121,152
ENSP00000398983,632,666
ENSP00000403660,316,343
ENSP00000366091,260,295
ENSP00000425475,724,777
ENSP00000477721,288,304
ENSP00000431929,56,116
ENSP00000263379,587,636
ENSP00000376970,209,252
ENSP00000380427,577,625
ENSP00000446847,480,517
ENSP00000355241,475,505
ENSP00000427648,79,106
ENSP00000371813,74,95
ENSP00000370880,79,118
ENSP00000484349,273,348
ENSP00000282356,445,473
ENSP00000483850,307,333
ENSP00000242848,1641,1668
ENSP00000417452,521,549
ENSP00000484234,392,427
ENSP00000482973,607,628
ENSP00000458553,298,346
ENSP00000452342,193,244
ENSP00000299721,84,160
ENSP00000462682,427,448
ENSP00000316675,194,326
ENSP00000158771,208,239
ENSP00000487074,1218,1238
ENSP00000456313,1651,1682
ENSP00000483667,1691,1710
ENSP00000443824,905,936
ENSP00000276616,342,385
ENSP00000343325,906,948
ENSP00000204961,275,346
ENSP00000448062,405,508
ENSP00000408595,492,522
ENSP00000333900,512,545
ENSP00000364618,161,242
ENSP00000381266,377,412
ENSP00000267229,942,980
ENSP00000325506,333,354
ENSP00000399436,168,325
ENSP00000355179,608,645
ENSP00000332444,550,616
ENSP00000353124,389,410
ENSP00000316410,136,256
ENSP00000421252,199,232
ENSP00000491196,223,244
ENSP00000264431,1435,1499
ENSP00000381640,748,782
ENSP00000417289,647,777
ENSP00000245479,488,509
ENSP00000454633,1176,1245
ENSP00000384452,410,445
ENSP00000386422,86,113
ENSP00000301738,214,234
ENSP00000378559,516,551
ENSP00000441464,291,366
ENSP00000407050,596,622
ENSP00000484077,215,239
ENSP00000488329,179,207
ENSP00000398278,101,152
ENSP00000244020,250,344
ENSP00000331302,679,753
ENSP00000425999,849,877
ENSP00000247306,155,210
ENSP00000463706,307,462
ENSP00000380954,319,356
ENSP00000412441,200,256
ENSP00000488569,1035,1068
ENSP00000302578,274,310
ENSP00000479928,651,670
ENSP00000481871,352,438
ENSP00000297857,856,873
ENSP00000461762,216,233
ENSP00000478410,354,410
ENSP00000463613,427,475
ENSP00000433421,202,231
ENSP00000489528,287,315
ENSP00000415630,505,537
ENSP00000453962,187,217
ENSP00000354543,736,780
ENSP00000296220,689,747
ENSP00000283550,134,195
ENSP00000317595,127,170
ENSP00000322293,250,279
ENSP00000273435,510,580
ENSP00000394289,364,415
ENSP00000477820,354,410
ENSP00000482676,88,137
ENSP00000434290,303,325
ENSP00000443238,250,282
ENSP00000394931,148,325
ENSP00000449230,496,536
ENSP00000392484,483,515
ENSP00000464050,802,938
ENSP00000425915,354,381
ENSP00000426002,279,299
ENSP00000440486,255,301
ENSP00000482145,319,353
ENSP00000387910,2132,2157
ENSP00000340609,195,220
ENSP00000386726,1924,1951
ENSP00000378440,102,126
ENSP00000458903,103,152
ENSP00000320184,139,190
ENSP00000252996,1015,1085
ENSP00000418648,1309,1347
ENSP00000368576,1142,1164
ENSP00000484614,371,396
ENSP00000306822,309,362
ENSP00000477906,161,187
ENSP00000360360,278,299
ENSP00000298351,752,806
ENSP00000346342,287,317
ENSP00000420085,162,284
ENSP00000368939,281,318
ENSP00000253968,229,254
ENSP00000347507,1907,1935
ENSP00000360979,298,344
ENSP00000378306,486,525
ENSP00000386082,699,728
ENSP00000217185,107,134
ENSP00000455552,403,461
ENSP00000360215,386,429
ENSP00000315700,541,559
ENSP00000319052,143,172
ENSP00000482224,407,523
ENSP00000215829,82,126
ENSP00000382859,169,205
ENSP00000314153,610,672
ENSP00000400063,490,633
ENSP00000479970,753,832
ENSP00000361173,119,142
ENSP00000332788,749,782
ENSP00000377088,555,579
ENSP00000447488,208,233
ENSP00000321591,373,403
ENSP00000440289,303,329
ENSP00000483440,318,342
ENSP00000483260,158,204
ENSP00000463650,273,304
ENSP00000423772,639,660
ENSP00000384302,650,677
ENSP00000451866,49,91
ENSP00000386511,1606,1625
ENSP00000489149,86,177
ENSP00000423115,478,530
ENSP00000479596,354,410
ENSP00000480464,277,341
ENSP00000215565,113,137
ENSP00000493592,3079,3095
ENSP00000393978,839,878
ENSP00000457962,297,316
ENSP00000445340,575,610
ENSP00000483607,649,672
ENSP00000354488,138,187
ENSP00000453969,498,534
ENSP00000007699,348,364
ENSP00000430950,360,403
ENSP00000262262,347,364
ENSP00000439952,54,73
ENSP00000439944,225,261
ENSP00000363914,1011,1044
ENSP00000405379,412,494
ENSP00000369315,1959,1985
ENSP00000394858,166,189
ENSP00000276055,465,486
ENSP00000392071,344,378
ENSP00000484515,386,449
ENSP00000355396,1013,1065
ENSP00000385347,473,567
ENSP00000371847,110,156
ENSP00000488245,300,352
ENSP00000347883,1082,1121
ENSP00000483042,296,430
ENSP00000429174,858,902
ENSP00000450169,341,365
ENSP00000446360,1097,1146
ENSP00000422990,395,423
ENSP00000381200,113,136
ENSP00000343676,292,333
ENSP00000498126,893,929
ENSP00000387006,782,908
ENSP00000287538,413,467
ENSP00000293894,319,446
ENSP00000377331,686,712
ENSP00000331040,239,323
ENSP00000306121,705,730
ENSP00000293897,328,364
ENSP00000365806,550,607
ENSP00000385925,486,521
ENSP00000343166,462,484
ENSP00000394437,346,360
ENSP00000374390,677,731
ENSP00000411162,550,607
ENSP00000262577,915,948
ENSP00000478472,352,438
ENSP00000365692,285,311
ENSP00000387093,384,447
ENSP00000221265,477,531
ENSP00000352581,1494,1515
ENSP00000496189,97,120
ENSP00000484992,111,209
ENSP00000256084,1041,1064
ENSP00000367498,512,583
ENSP00000290921,416,440
ENSP00000370568,158,199
ENSP00000320546,329,353
ENSP00000398422,341,421
ENSP00000369364,179,269
ENSP00000489834,261,318
ENSP00000351122,892,914
ENSP00000360660,218,325
ENSP00000372924,626,655
ENSP00000363041,83,108
ENSP00000380878,480,521
ENSP00000311695,151,202
ENSP00000330051,555,586
ENSP00000356256,148,171
ENSP00000453028,278,304
ENSP00000362649,400,482
ENSP00000379051,284,312
ENSP00000338857,946,1058
ENSP00000269576,546,584
ENSP00000402343,3846,3925
ENSP00000398374,329,409
ENSP00000355192,1848,1873
ENSP00000421839,68,98
ENSP00000352527,463,499
ENSP00000367900,727,783
ENSP00000296474,1376,1400
ENSP00000341452,135,166
ENSP00000303634,906,963
ENSP00000303400,39,268
ENSP00000372390,612,635
ENSP00000264773,565,579
ENSP00000273390,742,767
ENSP00000261660,97,122
ENSP00000466514,56,77
ENSP00000485034,637,658
ENSP00000447162,248,285
ENSP00000470801,622,642
ENSP00000314543,328,343
ENSP00000362609,382,441
ENSP00000334974,227,250
ENSP00000497841,2025,2073
ENSP00000383366,1237,1288
ENSP00000420715,296,360
ENSP00000361668,159,178
ENSP00000380054,229,268
ENSP00000484660,521,543
ENSP00000443509,145,174
ENSP00000393812,567,601
ENSP00000263997,264,309
ENSP00000483038,467,535
ENSP00000480905,653,723
ENSP00000481378,477,552
ENSP00000409549,476,525
ENSP00000359393,182,200
